time,is_race_on,timestamp_ms,engine_max_rpm,engine_idle_rpm,current_engine_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,yaw,pitch,roll,norm_suspension_travel_FL,norm_suspension_travel_FR,norm_suspension_travel_RL,norm_suspension_travel_RR,tire_slip_ratio_FL,tire_slip_ratio_FR,tire_slip_ratio_RL,tire_slip_ratio_RR,wheel_rotation_speed_FL,wheel_rotation_speed_FR,wheel_rotation_speed_RL,wheel_rotation_speed_RR,wheel_on_rumble_strip_FL,wheel_on_rumble_strip_FR,wheel_on_rumble_strip_RL,wheel_on_rumble_strip_RR,wheel_in_puddle_FL,wheel_in_puddle_FR,wheel_in_puddle_RL,wheel_in_puddle_RR,surface_rumble_FL,surface_rumble_FR,surface_rumble_RL,surface_rumble_RR,tire_slip_angle_FL,tire_slip_angle_FR,tire_slip_angle_RL,tire_slip_angle_RR,tire_combined_slip_FL,tire_combined_slip_FR,tire_combined_slip_RL,tire_combined_slip_RR,suspension_travel_meters_FL,suspension_travel_meters_FR,suspension_travel_meters_RL,suspension_travel_meters_RR,car_ordinal,car_class,car_performance_index,drivetrain_type,num_cylinders,position_x,position_y,position_z,speed,power,torque,tire_temp_FL,tire_temp_FR,tire_temp_RL,tire_temp_RR,boost,fuel,dist_traveled,best_lap_time,last_lap_time,cur_lap_time,cur_race_time,lap_no,race_pos,accel,brake,clutch,handbrake,gear,steer,norm_driving_line,norm_ai_brake_diff,tire_wear_FL,tire_wear_FR,tire_wear_RL,tire_wear_RR,track_ordinal
0.000124,1,142531,8499.9951171875,799.99951171875,800.013244628906,-1.07742162414048E-10,-4.72563010944782E-09,1.37409708611536E-10,2.05456217372557E-07,0.000148151753819548,-7.30815145288943E-07,8.83928150869906E-05,8.15228122519329E-06,0.000240914640016854,-1.55402147769928,0.0290618035942316,0.022795582190156,0.478241622447968,0.44661271572113,0.423277586698532,0.44821110367775,5.56208931357105E-07,-2.48345963882457E-06,-1.47756793467124E-06,-3.67063535122725E-06,-7.03864425304346E-05,-0.000114253103674855,-7.05862476024777E-05,-0.000110718290670775,0,0,0,0,0,0,0,0,0,0,0,0,-0.000140866555739194,-0.000129501975607127,-0.000103864345874172,-9.35357747948729E-05,0.000140867661684752,0.000129525782540441,0.000103874859632924,9.99999974737875E-05,0.00221836380660534,-0.000253817066550255,-0.00207775086164475,-0.000128898769617081,3919,6,838,1,6,-46.6279182434082,-11.603274345398,-399.306579589844,0.000148153689224273,-0.024499449878931,-0.000292435812298209,156.092468261719,156.096710205078,156.088882446289,156.088882446289,-11.0250024795532,0.129121169447899,-1944,0,0,0,36.1166687011719,0,1,0,0,255,255,1,0,-127,127,4.8868122348722E-07,4.44643518449084E-07,4.09500984233091E-07,4.01021026164017E-07,500
0.213279,1,142750,8499.9951171875,799.99951171875,701.973449707031,-0.00265440926887095,0.0322440899908543,-0.00105724693275988,2.14698229683563E-06,0.00134318333584815,1.44783189170994E-06,0.00373866502195597,0.00010943335655611,-0.00797508843243122,-1.52319979667664,0.0326666943728924,-0.0821371376514435,0.448799133300781,0.451531410217285,0.452439039945602,0.448820501565933,0.000160778945428319,0.000320364109938964,0.000129715990624391,0.000243951493757777,-0.00281161605380476,-0.00321394181810319,-0.0027497538831085,-0.00313291279599071,0,0,0,0,0,0,0,0,0,0,0,0,0.00365049880929291,0.0037713972851634,0.00393862323835492,0.00418930314481258,0.00365403760224581,0.00378497969359159,0.00394075876101852,0.00419639982283115,-8.2923099398613E-05,0.000130638480186462,0.000201566144824028,-8.12653452157974E-05,3919,6,838,1,6,-21.353931427002,-8.79344844818115,-422.630493164063,0.00134318578056991,86.6795349121094,1.1793897151947,182.379211425781,182.379211425781,182.379211425781,182.379211425781,-13.7531824111938,0.129130408167839,-1944,0,0,0,36.1361122131348,0,1,0,0,255,255,1,0,82,127,0,0,0,0,500
0.221423,1,142765,8499.9951171875,799.99951171875,712.454162597656,-0.000832886842545122,0.0100529110059142,-0.000340077211149037,6.97953510098159E-07,0.00107293424662203,-1.33180037664715E-07,0.00033434500801377,0.000124916812637821,0.000485995726194233,-1.52324485778809,0.0337004587054253,-0.0826615169644356,0.455048739910126,0.474698156118393,0.429098159074783,0.437493771314621,-5.1116894610459E-05,-3.53416544385254E-05,-5.67937895539217E-05,-4.2710111301858E-05,-0.0001312567765126,-0.000740302377380431,-0.00014128333714325,-0.000716248119715601,0,0,0,0,0,0,0,0,0,0,0,0,-0.00046469148946926,-0.000467876612674445,-1.95292104763212E-05,7.12390317403333E-07,0.000467494508484378,0.000469209509901702,9.99999974737875E-05,9.99999974737875E-05,0.000405561178922653,0.00194139778614044,-0.00162280164659023,-0.00096658430993557,3919,6,838,1,6,-21.3539333343506,-8.79343891143799,-422.630493164063,0.00107293436303735,87.9739532470703,1.1793897151947,182.168365478516,182.168304443359,182.168762207031,182.168762207031,-11.1523704528809,0.129130110144615,-1944,0,0,0,36.3361129760742,0,1,0,0,255,255,1,0,82,127,7.9794759244578E-08,7.74111157397783E-08,1.16252010684548E-07,1.28970285118157E-07,500
0.239432,1,142781,8499.9951171875,799.99951171875,713.61865234375,-0.00057250278769061,0.00691139791160822,-0.000233771948842332,-8.00129782874137E-07,0.000936152238864452,-3.90393870475236E-06,-0.000630574184469879,0.000208774086786434,0.000742104020901024,-1.52324056625366,0.0336959138512611,-0.0826459154486656,0.455012142658234,0.474561244249344,0.428462266921997,0.43681788444519,-7.38706148695201E-05,-6.82028694427572E-05,-6.12996373092756E-05,-5.45841612620279E-05,0.00102933216840029,-4.38807874161284E-05,0.000990296714007855,-1.9532806618372E-05,0,0,0,0,0,0,0,0,0,0,0,0,-0.000785609532613307,-0.0007714934181422,6.87396241119131E-05,5.87116410315502E-05,0.000789074925705791,0.000774502230342478,9.99999974737875E-05,9.99999974737875E-05,0.000402702018618584,0.00193069502711296,-0.00167250633239746,-0.00101941265165806,3919,6,838,1,6,-21.3539333343506,-8.79341697692871,-422.630493164063,0.000936160678975284,88.1177749633789,1.1793897151947,182.144912719727,182.14485168457,182.145263671875,182.145263671875,-11.1156148910522,0.129130065441132,-1944,0,0,0,36.3583335876465,0,1,0,0,255,255,1,0,82,127,8.30008772823021E-08,8.06513043016821E-08,1.16959490981117E-07,1.29686597460932E-07,500
0.255039,1,142796,8499.9951171875,799.99951171875,714.492065429688,-0.000429306528531015,0.00518355472013354,-0.000175241730175912,-8.21717549115419E-07,0.000962809834163636,-4.01840134145459E-06,-0.00126132078003138,0.000236063511692919,0.000810382887721062,-1.52323544025421,0.0336791574954987,-0.0826322883367539,0.454931497573853,0.474367052316666,0.428252756595612,0.436555624008179,-4.68216749140993E-05,-4.99707421113271E-05,-2.38349093706347E-05,-2.40850567934103E-05,0.0017171063227579,0.000469488702947274,0.00166272313799709,0.000490169215481728,0,0,0,0,0,0,0,0,0,0,0,0,-0.000911961134988815,-0.000885218032635748,0.000109580360003747,8.16385727375746E-05,0.000913162308279425,0.000886627356521785,0.000112142581201624,9.99999974737875E-05,0.000396395102143288,0.00191551819443703,-0.0016888827085495,-0.00103991292417049,3919,6,838,1,6,-21.3539333343506,-8.79339981079102,-422.630493164063,0.000962818565312773,88.2256469726563,1.1793897151947,182.127334594727,182.127288818359,182.127655029297,182.127655029297,-11.095193862915,0.129130035638809,-1944,0,0,0,36.375,0,1,0,0,255,255,1,0,82,127,8.6878607419294E-08,8.44865866156397E-08,1.17499723728542E-07,1.30215937588218E-07,500
0.272764,1,142812,8499.9951171875,799.99951171875,715.365417480469,-0.000180353163159452,0.00217788247391582,-7.35755747882649E-05,-6.58052158541977E-07,0.000789096869993955,-3.2892394301598E-06,-0.00155799521598965,0.000243632573983632,0.000368340872228146,-1.52322936058044,0.033655121922493,-0.082622729241848,0.454679846763611,0.473618686199188,0.428277283906937,0.436444610357285,-3.22753767250106E-05,-3.85732928407379E-05,-2.85908663499868E-06,-6.6985498961003E-06,0.00208725477568805,0.000783041585236788,0.00202525546774268,0.000800154230091721,0,0,0,0,0,0,0,0,0,0,0,0,-0.000767192046623677,-0.000726729398593307,0.000324713822919875,0.00029221351724118,0.000767870689742267,0.0007277523400262,0.000324726424878463,0.000292290293145925,0.000376729294657707,0.00185702554881573,-0.00168696418404579,-0.00104859098792076,3919,6,838,1,6,-21.3539333343506,-8.79338550567627,-422.630493164063,0.000789103971328586,88.3335189819336,1.1793897151947,182.109756469727,182.109710693359,182.110046386719,182.110046386719,-11.0793752670288,0.129130020737648,-1944,0,0,0,36.3916702270508,0,1,0,0,255,255,1,0,82,127,9.15435691695166E-08,8.90455993385331E-08,1.18111728397707E-07,1.30754102656283E-07,500
0.289703,1,142828,8499.9951171875,799.99951171875,716.238830566406,0.000289497664198279,-0.00349595886655152,0.00011801604705397,-3.16289515467361E-07,0.000387123785912991,-1.60485740252625E-06,-0.00146038609091192,0.00023884535767138,-6.24367748969235E-05,-1.52322328090668,0.0336300097405911,-0.0826207101345062,0.454050809144974,0.472720503807068,0.428553760051727,0.436604022979736,-4.2588685573719E-06,-8.38211144582601E-06,2.40235985984327E-05,2.0783583750017E-05,0.00205121957696974,0.000763773277867585,0.00198970781639218,0.000780213449615985,0,0,0,0,0,0,0,0,0,0,0,0,-0.000560338143259287,-0.000518439686857164,0.000524601491633803,0.000494230189360678,0.000560354324989021,0.000518507440574467,0.00052515126299113,0.000494666979648173,0.000327561050653458,0.00178682059049606,-0.00166535191237926,-0.00103612802922726,3919,6,838,1,6,-21.3539333343506,-8.79337692260742,-422.630493164063,0.000387127220164984,88.4413833618164,1.1793897151947,182.092193603516,182.092132568359,182.092422485352,182.092422485352,-11.0671215057373,0.129129990935326,-1944,0,0,0,36.4083366394043,0,1,0,0,255,255,1,0,82,127,9.58395744987683E-08,9.31595280917463E-08,1.19547806320952E-07,1.32011663822595E-07,500
0.305397,1,142843,8499.9951171875,799.99951171875,717.112243652344,0.000500310445204377,-0.00604155426844955,0.000203805713681504,-4.17505361838266E-07,0.000514699437189847,-2.1236255633994E-06,-0.00143286574166268,0.000206263968721032,-0.00027101329760626,-1.52321755886078,0.0336062572896481,-0.0826230272650719,0.45385754108429,0.472284823656082,0.428994685411453,0.437007874250412,-8.12299822428031E-06,-1.98598645511083E-05,1.92706829693634E-05,8.41060864331666E-06,0.00192416179925203,0.000788879173342139,0.00186768057756126,0.000801415822934359,0,0,0,0,0,0,0,0,0,0,0,0,-0.000403583166189492,-0.000358363206032664,0.000563865527510643,0.000538907945156097,0.000403664918849245,0.000358913064701483,0.00056419475004077,0.000538973603397608,0.000312454998493195,0.00175276584923267,-0.00163089111447334,-0.00100456550717354,3919,6,838,1,6,-21.3539333343506,-8.79337215423584,-422.630493164063,0.000514703919179738,88.5492477416992,1.1793897151947,182.074600219727,182.074554443359,182.074844360352,182.074844360352,-11.0576286315918,0.129129961133003,-1944,0,0,0,36.4250030517578,0,1,0,0,255,255,1,0,82,127,9.90689770219433E-08,9.61731103643615E-08,1.22105859645671E-07,1.34397936335517E-07,500
0.320821,1,0,8499.9951171875,799.99951171875,717.985595703125,-4.954191899742E-05,0.000598209793679416,-2.0166860849713E-05,-4.95158019475639E-07,0.000605919456575066,-2.48426522375667E-06,-0.00124749599490315,0.000183672673301771,-0.000280026433756575,-1.52321255207062,0.0335843712091446,-0.0826283991336823,0.453316062688828,0.471984654664993,0.429471999406815,0.437461614608765,-7.90819285612088E-06,-1.27774392240099E-05,1.70496950886445E-05,1.23904737847624E-05,0.00171932962257415,0.000721850199624896,0.00166900723706931,0.000732299173250794,0,0,0,0,0,0,0,0,0,0,0,0,-0.000324786000419408,-0.000280000909697264,0.000528711068909615,0.000510088400915265,0.000324882275890559,0.000280292297247797,0.000528985925484449,0.000510238867718726,0.000270131975412369,0.00172930583357811,-0.0015935804694891,-0.000969100743532181,3919,6,838,1,6,-21.3539333343506,-8.79336166381836,-422.630493164063,0.000605924695264548,88.6571197509766,1.1793897151947,182.057022094727,182.05696105957,182.057266235352,182.057266235352,-11.0502758026123,0.129129931330681,-1944,0,0,0,36.4416694641113,0,1,0,0,255,255,1,0,82,127,1.01465310820004E-07,9.83480532568137E-08,1.25036223153074E-07,1.37182254889012E-07,500
0.338449,1,16,8499.9951171875,799.99951171875,718.859008789063,-3.71565874957014E-05,0.000448657665401697,-1.51171734614763E-05,-5.75699232285842E-07,0.000684966333210468,-2.7874468742084E-06,-0.000931528920773417,0.000176781264599413,0.000159171468112618,-1.5232081413269,0.0335666574537754,-0.0826286673545837,0.452553868293762,0.471741646528244,0.429939180612564,0.437949419021606,1.1168916898896E-05,7.24349365555099E-06,2.96676334983204E-05,2.64720820268849E-05,0.00140725576784462,0.000457990274298936,0.0013632393674925,0.000471325882244855,0,0,0,0,0,0,0,0,0,0,0,0,-0.000454475783044472,-0.000422254874138162,0.000338893703883514,0.000323208718327805,0.000454613007605076,0.000422316981712356,0.000340189813869074,0.000324291002471,0.000210558995604515,0.00171031057834625,-0.00155706703662872,-0.000930972397327423,3919,6,838,1,6,-21.3539333343506,-8.79335021972656,-422.630493164063,0.00068497215397656,88.7649917602539,1.1793897151947,182.039443969727,182.039367675781,182.039688110352,182.039688110352,-11.0445785522461,0.12912991642952,-1944,0,0,0,36.4583358764648,0,1,0,0,255,255,1,0,82,127,1.03070284751539E-07,9.97111655465233E-08,1.2809218219445E-07,1.40137089488235E-07,500
